,player_x,player_y,player_name,time_remaining,shotClock,half,pos_id
7,28.92555989,28.53876761,Chris Lewis,1159,25,1,3
8,22.71230992,21.72433907,Noah Kirkwood,1159,25,1,3
9,9.884955148,15.711608,Justin Bassey,1159,25,1,3
10,39.54821306,11.50269625,Robert Baker,1159,25,1,3
11,28.72513247,31.54513314,ball,1159,25,1,3
1,39.28098058,22.32561217,Devon Goodman,1158,24,1,3
2,30.66260159,28.13791887,AJ Brodeur,1158,24,1,3
3,3.003617865,10.30015004,Jordan Dingle,1158,24,1,3
4,9.818150087,6.291662658,Ryan Betley,1158,24,1,3
5,46.69679505,11.30227188,Max Martz,1158,24,1,3
6,38.27884348,20.92264159,Christian Juzang,1158,24,1,3
7,29.86089192,24.32985586,Chris Lewis,1158,24,1,3
8,21.44294035,11.10184751,Noah Kirkwood,1158,24,1,3
9,13.42584362,15.11033489,Justin Bassey,1158,24,1,3
10,41.48568218,11.10184751,Robert Baker,1158,24,1,3
11,30.46217417,28.33834324,ball,1158,24,1,3
1,45.66124931,13.07268918,Devon Goodman,1157,23,1,3
2,30.89643154,27.13579703,AJ Brodeur,1157,23,1,3
3,4.440012324,13.50693994,Jordan Dingle,1157,23,1,3
4,3.037020395,4.688267707,Ryan Betley,1157,23,1,3
5,45.72806049,19.51967101,Max Martz,1157,23,1,3
6,37.91139118,15.711608,Christian Juzang,1157,23,1,3
7,32.29942347,22.52603654,Chris Lewis,1157,23,1,3
8,19.27164128,9.69887693,Noah Kirkwood,1157,23,1,3
9,15.66394775,15.711608,Justin Bassey,1157,23,1,3
10,38.31224601,9.498452561,Robert Baker,1157,23,1,3
11,31.09685896,27.53664576,ball,1157,23,1,3
1,47.46509608,18.45074282,Devon Goodman,1156,22,1,3
2,35.10540732,25.63261426,AJ Brodeur,1156,22,1,3
3,10.05198004,16.98096437,Jordan Dingle,1156,22,1,3
4,3.437875232,4.888692075,Ryan Betley,1156,22,1,3
5,43.72378631,15.91203237,Max Martz,1156,22,1,3
6,41.71951213,15.51118363,Christian Juzang,1156,22,1,3
7,32.29942347,22.32561217,Chris Lewis,1156,22,1,3
8,18.87078644,7.69463324,Noah Kirkwood,1156,22,1,3
9,16.46565742,15.711608,Justin Bassey,1156,22,1,3
10,40.91780245,11.50269625,Robert Baker,1156,22,1,3
11,34.47072254,25.73282644,ball,1156,22,1,3
1,43.48995636,22.02497562,Devon Goodman,1155,21,1,3
2,36.47499672,22.52603654,AJ Brodeur,1155,21,1,3
3,5.809601721,14.77629631,Jordan Dingle,1155,21,1,3
4,3.404472701,5.690389551,Ryan Betley,1155,21,1,3
5,37.27670639,9.298028192,Max Martz,1155,21,1,3
6,38.4792709,22.32561217,Christian Juzang,1155,21,1,3
